id,en,es,fr,de
P2684,Kijkwijzer rating,clasificación Kijkwijzer,classification Kijkwijzer,Kijkwijzer-Bewertung
P1445,fictional universe described in,universo ficticio descrito en,univers de fiction décrit dans,fiktives Universum wird beschrieben in
P7078,typing discipline,sistema de tipos,système de typage,Typisierung
P1672,this taxon is source of,este taxón es una fuente de,ce taxon produit,Ursprung von
P3701,incarnation of,encarnación de,incarnation de,Inkarnation von
P3438,vehicle normally used,vehículo usado normalmente,véhicule habituellement utilisé,normalerweise verwendetes Fahrzeug
P5132,suggests the existence of,sugiere la existencia de,suggère l'existence de,vermutet das Vorhandensein von
P2702,dataset distribution,distribución de conjunto de datos,ensemble de données distribuées,Datensatz-Veröffentlichung
P3497,teams classification by time,clasificación de equipos por tiempo,classement par équipes aux temps,Mannschaftswertung nach Zeit
P826,tonality,tonalidad,tonalité,Tonart
P873,phase point,punto de fase,point de phase,Phasenpunkt
P1652,referee,árbitro,arbitre,Schiedsrichter
P3447,mirrors data from,replica datos de,données miroirs de,spiegelt Daten von
P4224,category contains,categoría contiene,type d'élément contenu dans la catégorie,Kategorie enthält
P765,surface played on,tipo de superficie,type de surface,Belag
P1151,topic's main Wikimedia portal,portal principal del tema,portail Wikimedia,Themenportal
P376,located on astronomical body,en el cuerpo astronómico,sur le corps astronomique,auf astronomischem Körper
P5026,lighting designer,diseñador de iluminación,éclairagiste,Lichtgestalter
P634,captain,capitán,capitaine,Mannschaftskapitän
P7861,category for files created with program,categoría para archivos creados con este programa,catégorie pour les fichiers créés avec un programme,mit diesem Programm erstellte Datei
P3150,birthday,cumpleaños,anniversaire,Geburtstag
P3489,pregnancy category,categoría farmacológica en el embarazo,catégorie de grossesse,Schwangerschaftskategorie
P7936,business model,modelo de negocio,modèle d'affaires,Geschäftsmodell
P1740,category for films shot at this location,categoría para las películas rodadas aquí,catégorie pour les films tournés à cet endroit,Kategorie für an diesem Ort gedrehte Filme
P5138,season of club or team,temporada de un club o equipo deportivo,saison du club ou de l'équipe sportive,Spielsaison der Mannschaft oder des Vereins
P9353,does not have cause,no tiene como causa,n'a pas pour cause,nicht verursacht durch
P2389,organization directed by the office or position,organización dirigida desde este cargo,organisation dirigée par cet élément,Leitung über
P2288,lymphatic drainage,drenaje linfático,drainage lymphatique,Lymphdrainage
P9549,official podcast,oficial programa de podcast,podcast officiel,offizieller Podcast
P101,field of work,campo de trabajo,domaine d'activité,Arbeitsgebiet
P562,central bank/issuer,banco central/emisor,autorité émettrice,Zentralbank (Währung)
P1589,lowest point,punto más bajo,point le plus bas,tiefster Punkt
P2517,category for recipients of this award,categoría para los galardonados con este premio,catégorie pour les lauréats de cette récompense,Kategorie für Preisträger
P5323,attested in,atestiguado en,attesté dans,bestätigt in
P7763,copyright status as a creator,estado de los derechos de autor como creador,statut des droits d'auteur du créateur,allgemeiner Urheberrechtsstatus der Werke
P3025,open days,días abiertos,jours d'ouverture,geöffnet an/am
P924,possible treatment,tratamiento posible,traitements possibles,medizinische Behandlungen
P3022,flag bearer,abanderado,porte-drapeau,Flaggenträger
P1595,charge,imputación,inculpation,Anklagepunkt
P2894,day of week,día de la semana,jour de la semaine,Wochentag
P1196,manner of death,circunstancias de la muerte,circonstances de la mort,Todesart
P4624,squadron embarked,escuadrón embarcado,escadron embarqué,eingeschifftes Geschwader
P3374,endianness,endianness,endianness,Byte-Reihenfolge
P2033,category for pictures taken with camera,categoría de fotos tomada con este modelo de cámara,catégorie des photos prises avec ce modèle,Kategorie von Bildern dieser Kamera
P3095,practiced by,practicado por,pratiqué par,praktiziert von
P7514,landscape architect,arquitecto del paisaje,architecte paysagiste,Landschaftsarchitekt
P9660,not found in,no encontrado en,non présent dans,nicht nachgewiesen in
P2376,superpartner of,s-partícula de,superpartenaire de,Superpartner von
P102,member of political party,miembro del partido político,parti politique,Parteizugehörigkeit
P1880,measurement scale,medido por,mesuré par,gemessen mit
P1536,immediate cause of,causa inmediata de,cause immédiate de,direkte Ursache von
P5056,patronym or matronym for this person,patronímico o matronímico para esta persona,patronyme ou matronyme pour cette personne,Patronym oder Matronym dieser Person
P1479,has contributing factor,factor contribuyente,a comme facteur contributif,hat mitwirkenden Faktor
P9831,release of,publicación musical de,sortie musciale de,Release von
P694,replaced synonym (for nom. nov.),sinónimo reemplazado,synonyme remplacé (taxinomie),ersetztes Synonym
P870,instrumentation,instrumentación,instrumentation,Instrumentation
P3450,sports season of league or competition,temporada deportiva de,saison sportive de,Spielsaison der Liga oder des Wettbewerbs
P3966,programming paradigm,paradigma de programación,paradigme,Programmierparadigma
P8371,"references work, tradition or theory","referencia la obra, tradición o teoría","travaux de référence, tradition ou théorie","verweist auf Werk, Tradition oder Theorie"
P6977,review of,reseña sobre,compte-rendu de,Rezension von
P1950,second family name in Spanish name,segundo apellido en nombre español,second nom de famille dans un nom espagnol,zweiter Familienname bei spanischem Namen
P199,business division,división comercial,division,Geschäftsbereich
P669,located on street or square,situado en la calle,voie,Straße oder Platz
P780,symptoms and signs,síntomas,symptômes,Symptome
P8001,endorsed by,apoyado por,soutenu par,Schirmherrschaft durch
P970,neurological function,función neurológica,fonction neurologique,neurologische Funktion
P1464,category for people born here,categoría para las personas que nacieron aquí,catégorie pour les personnes nées à cet endroit,Kategorie für hier geborene Personen
P209,highest judicial authority,máxima autoridad judicial,Corps judiciaire suprême,höchstes Gericht
P3263,base,base geométrica,base (géométrie),Grundfläche
P878,avionics,aviónica,avionique,Avionik
P1349,ploidy,ploidía,ploïdie,Ploidiegrad
P8411,set in environment,lugar de ambientación,se déroule dans l'environnement,Umgebung der Handlung
P7501,audio system,sistema de audio,système audio,Audiosystem
P5873,place of devotion,lugar de devoción,lieu de culte,Andachtsstätte
P3781,has active ingredient,contiene el principio activo,contient le principe actif,hat Wirkstoff
P612,mother house,casa madre,maison mère,Mutterkloster
P748,appointed by,designado por,nommé par,ernannt durch
P3931,copyright holder,titular de los derechos de autor,détenteur des droits d'auteur,Urheberrechtsinhaber
P8693,fandom,fandom,fandom,Fandom
P8738,permits,permite,permet,erlaubt
P1029,crew member(s),tripulante,équipage,Mannschaftsmitglied
P3679,stock market index,índice bursátil,indice boursier,Aktienindex
P1283,filmography,filmografía,filmographie,Filmografie
P1531,"parent of this hybrid, breed, or cultivar",progenitores del híbrido,parents de l'hybride,Hybrideltern
P2388,office held by head of the organization,cargo ocupado por el dirigente,fonction à la tête de l'organisation,Amt des Leiters
P8596,category for the exterior of the item,categoría para el exterior del elemento,catégorie Commons de l'extérieur d'un élément,Commons-Kategorie für das Exterieur
P3902,had as last meal,última comida,dernier repas,letzte Mahlzeit
P172,ethnic group,etnia,groupe ethnique,Bevölkerungsgruppe
P872,printed by,impreso por,imprimé par,Drucker
P1999,UNESCO language status,estado de vulnerabilidad de idioma,statut UNESCO d'une langue,UNESCO-Sprachstatus
P4967,prerequisite,prerrequisito,prérequis,Voraussetzung
P4884,court,tribunal,tribunal,Gericht
P5196,output method,dispositivo de salida,périphérique de sortie,Ausgabemethode
P552,handedness,lateralidad,latéralisation,Händigkeit
P565,crystal habit,hábito cristalino,habitus du cristal,Kristallhabitus
P1347,military casualty classification,clasificación militar de víctimas,classification militaire des victimes,Klassifikation militärischer Verluste
P1753,list related to category,lista asociada a la categoría,liste relative à la catégorie,Liste in Bezug auf Kategorie
P7779,member of military unit,miembro de la unidad militar,unité,Mitglied der Militäreinheit
P5589,microstructure,microestructura,microstructure,Gefüge (Werkstoffkunde)
P5248,medical evacuation to,evacuación sanitaria a,lieu d'évacuation des blessés,medizinische Evakuierung nach
P6022,"expression, gesture or body pose","expresión, gesto o postura","expression, geste ou posture",Körperhaltung oder -bewegung
P5109,has grammatical gender,tiene el género gramatical,a pour genre grammatical,hat grammatisches Geschlecht
P5707,samples from work,obra incorporada,utilise des extraits de,Sample
P196,minor planet group,grupo de planetas menores,groupe d'objets mineurs,Asteroidengruppe
P624,guidance system,sistema de guiado,système de guidage,Lenksystem
P789,edibility,comestibilidad,comestibilité,Essbarkeit
P4032,reviewed by,revisado por,examiné par,überprüft von
P832,public holiday,día festivo,jour férié,Feiertag
P2868,subject has role,tiene el rol de,tient le rôle de,Subjekt fungiert als
P2012,cuisine,cocina,cuisine servie,Küche
P194,legislative body,órgano legislativo,assemblée délibérante,gesetzgebende Körperschaft
P470,Eight Banner register,registro de ocho banderas,bannière d'appartenance,Acht-Banner-Zugehörigkeit
P9059,subdivision of this unit,subdivisión de esta unidad,subdivision d'unité,Währungsuntereinheit
P567,underlies,infrayacente a,toit,Hangend
P105,taxon rank,categoría taxonómica,rang taxinomique,taxonomischer Rang
P1604,biosafety level,nivel de bioseguridad,niveau de sécurité biologique,biologische Schutzstufe
P2359,Roman nomen gentilicium,nomen,nomen,Nomen gentile
P3416,end period,periodo final,période de fin,Schlussperiode
P8194,hardiness zone,zona de rusticidad,zone de rusticité,Winterhärtezone
P1290,godparent,padrino,parrain ou marraine,Pate
P914,USK rating,clasificación USK,évaluation USK,USK-Altersfreigabe
P1594,judge,juez,juge,Richter
P2975,host,huésped,hôte,Wirt
P5021,assessment,examen realizado,examen ou concours effectué,abgelegte Prüfung
P2384,statement describes,declaración describe,formule décrivant,Aussage beschreibt
P248,stated in,afirmado en,affirmé dans,nachgewiesen in
P6339,reports periodicity,intervalo de datos,périodicité des relevés,Datenintervall
P4622,trophy awarded,trofeo recibido,trophée remis,ausgezeichnet mit Trophäe
P143,imported from Wikimedia project,importado del proyecto Wikimedia,importé du projet Wikimédia,importiert aus Wikimedia-Projekt
P887,based on heuristic,basado en la heurística,déterminé par l'heuristique,basierend auf Heuristik
P4792,dam,presa,barrage,Talsperre
P5623,type of water supply,tipo de suministro de agua,type d'alimentation en eau,Art der Wasserversorgung
P3650,JMK film rating,clasificación JMK,classification JMK,JMK-Altersfreigabe
P9192,sensors,sensores,capteur intégré,Sensoren
P6291,advertises,publicita,promeut,bewirbt
P739,ammunition,munición,munition,Patrone
P1074,fictional analog of,análogo ficticio de,analogue fictionnel de,fiktives Analogon von
P1073,writable file format,formatos de archivo editables,format de fichier pouvant être écrit,schreibbare Dateiformate
P607,conflict,participó en el conflicto,conflit,Kriegseinsatz
P553,website account on,cuenta en sitio web,compte sur,Nutzerkonto auf Website
P1750,name day,onomástico,fête du prénom,Namenstag
P1593,defender,defensor,défenseur,Verteidiger
P4791,commanded by,comandado por,commandé par,befohlen von
P4810,reads environment variable,lee variable de entorno,lit la variable d'environnement,liest Umgebungsvariable
P1303,instrument,instrumento,instrument de musique pratiqué,Instrument
P3028,open period to,abierto hasta,fin de la période d'ouverture,geöffnet bis Zeitpunkt
P210,party chief representative,representante del partido,représentant du parti,oberster Parteifunktionär
P1433,published in,publicado en,publié dans,veröffentlicht in
P5206,has conjugation class,tiene la clase de conjugación,a la classe de conjugaison,hat Konjugationsklasse
P1582,natural product of taxon,producto natural del taxón,produit par le taxon,erzeugt aus
P937,work location,lugar de trabajo,lieu de travail,Wirkungsort
P610,highest point,punto más alto,point culminant,höchster Punkt
P208,executive body,órgano ejecutivo,exécutif,Exekutivorgan
P751,introduced feature,característica introducida,fonctionnalité introduite,eingeführtes Feature
P8670,character designer,diseñador de personajes,concepteur de personnages,Charakterdesigner
P398,child astronomical body,objeto astronómico hijo,objet qui orbite l'élément,untergeordnete astronomischer Körper
P2738,disjoint union of,unión disjunta de,union disjointe de,disjunkte Vereinigung von
P790,approved by,aprobado por,approuvé par,anerkannt von
P2433,gender of a scientific name of a genus,género gramatical del nombre científico de un taxón,genre grammatical du nom scientifique d'un genre,Geschlecht des Gattungsnamens
P817,decay mode,modo de desintegración,mode de rayonnement radioactif,Zerfallsart
P3831,object has role,valor tiene el rol de,rôle de l'objet,Objekt fungiert als
P8929,religion or world view (OBSOLETE),religión o cosmovisión,religion ou vision du monde (OBSOLÈTE),Religion oder Weltanschauung (OBSOLET)
P2575,measures,mide,mesure,misst
P2445,metasubclass of,metasubclase de,méta-sous-classe de,Metaunterklasse von
P1041,socket supported,zócalo compatible,socket supporté,Sockel
P853,CERO rating,clasificación CERO,évaluation CERO,CERO-Altersfreigabe
P1779,possible creator,presunto creador,créateur présumé,möglicher Urheber
P86,composer,compositor,compositeur ou compositrice,Komponist
P1611,NATO code for grade,código OTAN de rango militar,code de grade OTAN,NATO Code für Dienstgrad
P1200,bodies of water basin category,categoría de cuenca hidrográfica,catégorie du bassin hydrogaphique,Flusssystem-Kategorie
P3822,rules for classification,reglas de clasificación,règles de classification,Regeln für Platzierung
P3776,inhibitor of,inhibidor de,inhibiteur de,Hemmstoff von
P7781,exonerated of,exonerado de,exonéré de,freigesprochen von
P5769,editor-in-chief,redactor en jefe,responsable éditorial,Chefredakteur
P8627,closing time,hora de cierre,heure de fermeture,Schließzeit
P7152,copyright exemption,exención de derechos de autor,exemption de droit d'auteur,Copyright-Exemption
P2770,source of income,fuente de ingreso,source de revenu,Herkunft des Einkommens
P4794,season starts,inicio de la temporada,début de la saison,Saisonstart
P926,postsynaptic connection,conexión postsináptica,connexion postsynaptique,postsynaptische Verbindung
