_id,alias,label
P2789,"connected with, attached to, attaches to, connects to, connected to, couples with, mates with, binds to, intersects at grade, meets at grade, contacts, affixed to, links to",connects with
P1542,"effect, has result, result, has outcome, outcome, has symptom, consequence, causes, implies, cause of, led to, caused",has effect
P1151,"portal, main portal",topic's main Wikimedia portal
P376,"planet, astronomical body (location), located on astronomical location",located on astronomical body
P5026,light designer,lighting designer
P9215,"set during holiday, narrative holiday, set during event, narrative event",set during recurring event
P3150,birth day,birthday
P1424,"topic's main infobox, topic infobox, template of topic, main template, topic has template",topic's main template
P1740,"cat films shot, cfsi, cff, category of films shot at this location, films shot at this location",category for films shot at this location
P5138,"sports season of club or team, season of team, season of club, season of athletics program",season of club or team
P2389,"organization directed from the office, head of, directs, leads, heads, runs, leader of, organization led from the office or person, organization headed by, organization led by, organization directed by",organization directed by the office or position
P9549,podcast,official podcast
P101,"field of study, fields, discipline, subject, area, specialism, domain, academic discipline, scientific discipline, academic area, scientific area, FOW, studies, responsible for, conduct research about, be researcher in, research on, speciality, activity, domain of activity, activity domain, academic subject, trade, area of work, specialty, research, field of research, research fields",field of work
P562,"issuer, authority, issuing authority",central bank/issuer
P1589,"extreme point lowest, extreme point deepest, deepest point",lowest point
P2517,"recipient category, recipcat",category for recipients of this award
P5323,"lexeme form found in, form of lexeme found in",attested in
P7763,"copyright status as creator, statut des droits d'auteur du createur, copyright status of works, copyright status of creator's works",copyright status as a creator
P3025,"open on days, days open, opening days",open days
P924,"therapy, medical therapy, treatment, health treatment, medical treatment",possible treatment
P1595,"criminal charge, charged with",charge
P2894,day of the week,day of week
P1196,"death manner, death type, type of death, circumstance of death, nature of death",manner of death
P2033,"Commons photos by camera category, taken with this camera, category for images taken with camera, category for photos taken with camer",category for pictures taken with camera
P1598,"consecrated by, has consecrator, has ordainer, ordainer, ordained by",consecrator
P2959,"duplicate, duplicate item, duplicate of, duplicate of item, permanently duplicated item, identical to, same concept as, same as",permanent duplicated item
P3095,"studied by, associated with, has proponent, practioner, proponent, has practitioner, implemented by, implementor, occupation of this field, done by, practitioners",practiced by
P9660,"not attested in, not described by source",not found in
P102,"party, member of, member of party, party membership, political party member, political party",member of political party
P1880,measured by,measurement scale
P1536,"immediate effect, immediate result, immediate outcome, is immediate cause of, has immediate effect, has immediate result, has immediate outcome",immediate cause of
P5056,"matronym, patronym",patronym or matronym for this person
P1535,"user, played by",used by
P1479,"has contributing factors, contributing factor, significant contributing factor, indirect cause, indirectly caused by, is/was indirectly caused by",has contributing factor
P9831,"music release of, release of music",release of
P921,"index term, topic of work, main topic, about, topic, subject, subject heading, mainly about, theme, main issue, main thing, keyword, is about, primary topic, primary subject, describes, artistic theme, sitter, regards, regarding, in regards to, content is about, content describes, content deals with, has a subject, /common/topic/subject, plot keyword",main subject
P694,replaced name,replaced synonym (for nom. nov.)
P3450,"is season of, is a season of, seasons of, season of, season of sports competition, season of sports tournament, season of sports league, sport season",sports season of league or competition
P8371,"references, alludes to","references work, tradition or theory"
P6977,reviews,review of
P1950,"Spanish maternal name, second surname in Spanish name, maternal surname, Spanish second name, second Spanish name, Maternal family name, Spanish mother's maiden name, segundo apellido en nombre en español, segundo apellido",second family name in Spanish name
P974,"affluent, has tributary, receives river, has river inflow, has inflow of, receives tributary",tributary
P199,"divisions, has division, has business division",business division
P669,"is on, street, square, road, address street, on street, located at street (item)",located on street or square
P780,"symptoms, has symptom",symptoms and signs
P8001,"supported by, endorsement by",endorsed by
P1464,category for place of birth,category for people born here
P209,"supreme court, has supreme court, highest court",highest judicial authority
P3137,"parent mountain, Island parent",parent peak
P878,"sensors, electronics",avionics
P8411,"setting location, narrative set in, set in location, takes place in, playing in, environmental location",set in environment
P169,"CEO, chief executive, ceo, executive director",chief executive officer
P7501,audio format,audio system
P7010,imprimatur,imprimatur granted by
P3781,"active ingredient, contains active ingredient, includes active ingredients",has active ingredient
P612,"motherhouse, cell of",mother house
P748,named by,appointed by
P3931,"licensor, copyright ‘owner’, proprietor, copyright owner",copyright holder
P8693,fan group name,fandom
P8738,does not prohibit,permits
P6379,"works in collection, has works in the collection(s), work in collection, has work in the collection, museum housing this person's work",has works in the collection
P1029,member of crew of,crew member(s)
P1283,"list of films with the person, list of films about the person, list of films the person contributed to",filmography
P1531,"parent(s) of this hybrid, parent of this hybrid, parents of this hybrid, cultivar from","parent of this hybrid, breed, or cultivar"
P2388,"leader's office, secretary's office, minister's office, chairperson's office, chief's office, CEO's office, president's office, head's office, position held by head of the organisation, office held by head of the organisation, headed by, head of the organization",office held by head of the organization
P8596,"Commons category for the exterior of the item, exterior category",category for the exterior of the item
P3902,last meal,had as last meal
P2354,"accompanying list, has this list, list, list article, list for this topic, related list, topic list, topic's list",has list
P172,"ethnicity, culture, people, (cultural) nationality, race",ethnic group
P872,printer,printed by
P1999,AWLD status,UNESCO language status
P4967,"requirement, necessary condition, required beforehand",prerequisite
P5196,output device,output method
P552,dominant hand,handedness
P1347,"casualty classification, casualty type",military casualty classification
P1753,"category's list, list equivalent to category",list related to category
P7779,"military unit, unit",member of military unit
P1557,"realization of, reification of",manifestation of
P6193,"ratification, acceptance, approval, accession",ratified by
P6022,"expression, facial expression, gesture, movement, position, pose, action","expression, gesture or body pose"
P5109,"grammatical genders, has genders",has grammatical gender
P5707,"samples, samples audio from, work sampled, samples work",samples from work
P196,asteroid group,minor planet group
P789,"mushroom edibility, palatiblity",edibility
P4032,"examined by, peer reviewed by",reviewed by
P832,"bank holiday, legal holiday, national holiday",public holiday
P2868,"role, had role, as, function, duty, purpose, has role, subject had role, subject has generic identity, acting as, job title, status, subject of qualified statement has role, subject of statement has role, subject performed task",subject has role
P194,"representative body, parliament, council, assembly, diet, rural council, district council, municipal council, aboriginal council, indigenous council, city council, local government area, LGA, District, Tehsil, Zila, Jila",legislative body
P144,"fork of, derived from, extended from, copy of, adapted from, based upon, theme, themed after, adaptation of, remake of, modeled after, modelled after, replica of, cover of, inherits from, inspired by, source work, based on work, derivative of, derivative work of",based on
P105,"taxonomic rank, rank, type of taxon",taxon rank
P7479,has key col,key col
P2359,nomen gentilicium,Roman nomen gentilicium
P9419,"personal library located at, personal library held at, personal library held by",personal library at
P3416,until period,end period
P50,"written by, writer, writers, authors, author(s), writer(s), by, creator",author
P1268,"represents organisation, stands for, symbolizes, symbolises",represents
P1290,"godfather, godmother",godparent
P914,Unterhaltungssoftware Selbstkontrolle rating,USK rating
P8431,meal course,course
P2975,host taxon,host
P5021,"test taken, certification, exam, examination, review per method",assessment
P1346,"won by, victor, champion, winners, champ, top dog, leader, titleholder, prizewinner, 1st place medalist, awardee, nominee",winner
P2384,statement about,statement describes
P248,"originating source, source of claim, in statement",stated in
P6339,"data interval, data periodicity, mesurements periodicity",reports periodicity
P4622,"medal awarded, cup awarded, diploma awarded",trophy awarded
P143,"imported from, imported from WM project, import from Wikimedia project, import from WM project, Wikimedia project, imported from Wikipedia project, Wikipedia project",imported from Wikimedia project
P887,"heuristic, heuristically based on",based on heuristic
P4792,impounded by,dam
P9192,"sensor, has sensor, has detector, detector, sensor equipment",sensors
P6291,"campaigns for, promotes",advertises
P739,"cartridge, ammo",ammunition
P1074,fictional version of,fictional analog of
P1073,"writes file format, file format written, can write",writable file format
P607,"war, battle, participated in conflict, participant in conflict, in conflict, in action, theater (military), theatre (military), military conflict, military engagement, engagement",conflict
P553,"user account on, social media account on, account on, has account on  website",website account on
P1593,"attorney, defence team, lawyers, defense attorney, defense team",defender
P4791,"commander, captain, commanding officer",commanded by
P4810,read environment variable,reads environment variable
P1303,"musical instrument, plays instrument, instrument played, plays, instrument taught, teaches instrument, player of",instrument
P3028,"end opening season, end of opening season, open until",open period to
P7378,disputed by,item disputed by
P210,"party chief, communist party chief, party secretary, Communist Party Secretary",party chief representative
P1433,"on the tracklist of, venue, part of work, published in journal, album, music album, track on album, chapter of, article of, essay of, track of, track on, song on album, song on",published in
P2522,"won event, awarded, winner of, won",victory
P1582,"fruit of (taxon), comes from (taxon), made from, product of taxon, produced by taxon, derived from",natural product of taxon
P175,"artist, musician, played by, portrayed by, recorded by, recording by, dancer, actor, musical artist, performed by, actress, sung by, singer",performer
P161,"starring, film starring, actor, actress, contestant of a play, featuring, starring (film/play), feat.",cast member
P937,"workplace, work location, place of activity, active in, location of work, place of work, working at, work place, work residence, place of employment, work area, conducts business at, conducts business in",work location
P8956,supports,compatible with
P610,"highest peak, zenith, summit, extreme point highest, pinnacle, elevation of highest point",highest point
P208,executive branch,executive body
P751,new feature,introduced feature
P8670,character modeler,character designer
P398,"child body, satellite, orbited by, has planet, has moon, secondary",child astronomical body
P807,"forked from, schism from, seceded from, split from, broke from, branched from",separated from
P737,"informed by, has influence, favorite player, role model",influenced by
P1830,"owns, shareholder of, owns property",owner of
P1075,Rector (academia),rector
P790,erected by,approved by
P162,"record producer, film producer, produced by",producer
P3831,"as, value has role, object has generic identity, role, specifically, has role, circumstances of employment, object of qualified statement has role, object of statement has role, object had role",object has role
P8929,philosophical position,religion or world view (OBSOLETE)
P2445,metaclass of,metasubclass of
P1037,"manager, director, manager/director, general manager, director general, chief, boss, head, managing director, leader",director / manager
P1041,"cpu slot, cpu socket",socket supported
P853,Computer Entertainment Rating Organization rating,CERO rating
P1779,creator (possible),possible creator
P86,"songwriter, composed by, musical score by, music by, written by, film score by",composer
P3403,"same territory as, territory identical with, coterminous with",coextensive with
P7047,"opponent of, rival of, archenemy of, arch-enemy of, archrival of, archfoe of, archvillain of, archnemesis of",enemy of
P1200,"category associated with the basin of the bodies of water, water system category",bodies of water basin category
P3822,classification rules,rules for classification
P5201,IMDA classification,IMDA rating
P5769,"executive editor, editor in chief, lead editor, managing editor, EiC, directed by",editor-in-chief
P8627,closes at,closing time
P2770,"income source, source of revenue, revenue source",source of income
P4794,season begins,season starts
